species_name,common_name,status,category,extent,temporal_range,expected_obs,actual_obs,last_updated,taxonomic_rank,gbif_key,data_quality,color,notes,countries_observed,subregion,host_plants,host_plant_families,host_plant_status
Morpho,Blue Morpho,ingested,lepidoptera,"[-147.66, -69.41, 35.16, 52.37]",2015-01-01 to 2025-12-31,0.0,8815.0,2026-01-31,GENUS,,100.0,#0066FF,,,,"Abuta selloana, Acacia longifolia, Arundo mitis, Bambusa, Bambusa trinii, Canella, Ceratonia, Chusquea, Chusquea meyeriana, Clusia, Cupania vernalis, Dalbergia, Erythroxylum pelleterianum, Erythroxylum pulchrum, Eugenia brasiliensis, Ficus gamelleira, Genipa americana, Inga, Inga bahiensis, Inga edulis, Inga semialata, Inga sessilis, Inga uraguensis, Lonchocarpus, Luehea, Machaerium, Machaerium aculeatum, Machaerium acutifolium, Machaerium cobanense, Machaerium oblongifolium, Machaerium salvadorense, Machaerium seemannii, Macrolobium bifolium, Matayba, Merostachys claussenii, Mucuna mutisiana, Mucuna urens, Myrocarpus, Nectandra, Paragonia, Paragonia pyramidata, Paullinia pinnata, Pithecellobium, Platymiscium, Pterocarpus, Pterocarpus rohrii, Scutia buxifolia, Sebastiania klotzschiana","Bignoniaceae, Canellaceae, Erythroxylaceae, Euphorbiaceae, Fabaceae, Hypericaceae, Lauraceae, Menispermaceae, Moraceae, Myrtaceae, Poaceae, Rhamnaceae, Rubiaceae, Sapindaceae, Tiliaceae",complete
Caligo,Owl Butterflies,ingested,lepidoptera,"[-147.66, -69.41, 4.91, 52.37]",2015-01-01 to 2025-12-30,2578.0,3986.0,2026-02-14,GENUS,1918071,154.6,,,"AQ,AR,AW,BO,BR,BZ,CO,CR,EC,GF,GT,HN,MX,NI,NL,PA,PE,PY,SR,SV,TT,US,VE",South America,"Calathea zebrina, Canna indica, Coffea, Echinochloa crus-galli, Euterpe edulis, Hedychium coronarium, Heliconia, Musa, Musa acuminata, Musa paradisiaca, Musa x paradisiaca, Palmeria, Pennisetum purpureum, Saccharum officinarum","Arecaceae, Cannaceae, Heliconiaceae, Marantaceae, Monimiaceae, Musaceae, Poaceae, Rubiaceae, Zingiberaceae",complete
Manataria hercyna,White-spotted Satyr,ingested,lepidoptera,"[-115.65, -30.05, -46.96, 31.37]",2015-01-14 to 2025-12-20,52.0,30.0,2026-02-14,SPECIES,1911933,57.7,,,"AR,BR,CO,EC,GT,MX,PA,PE,VE",South America,Bambusa,Poaceae,complete
Papilio thoas,King Swallowtail,ingested,lepidoptera,"[-109.45, -38.89, -34.83, 32.47]",2015-01-07 to 2023-12-31,0.0,2990.0,2026-02-14,SPECIES,1937885,100.0,,,"AR,AW,BO,BR,BZ,CO,CR,EC,GF,GT,GY,HN,MX,NI,PA,PE,PY,SR,SV,TT,US,UY,VE",South America,"Citrus, Citrus aurantifolia, Citrus limon, Citrus limonia, Citrus reticulata, Citrus sinensis, Esenbeckia, Esenbeckia pumila, Monnieria trifolia, Piper, Piper aduncum, Piper belemense, Piper peltatum, Piper umbellatum, Ptelea, Ruta graveolens, Zanthoxylum, Zanthoxylum fagara, Zanthoxylum martinicense, Zanthoxylum rhoifolium","Piperaceae, Rutaceae",complete
Siproeta stelenes,Malachite,ingested,lepidoptera,"[-109.10, -32.37, 3.75, 56.56]",2018-01-01 to 2024-12-31,10694.0,5155.0,2026-02-14,SPECIES,4299213,48.2,,,"AR,BO,BR,BZ,CA,CO,CR,CU,DO,EC,FR,GF,GT,HN,HT,JM,KY,MX,NI,PA,PE,PR,PY,SR,SV,TT,US,UY,VE",South America,"Blechum, Blechum pyramidatum, Calliandra parvifolia, Calliandra tweediei, Justicia, Justicia candelariae, Justicia carthagenensis, Pithecellobium cochliocarpum, Plantago, Plantago major, Pseuderanthemum, Ruellia, Ruellia coccinea, Ruellia metallica, Salvia splendens, Strobilanthes","Acanthaceae, Fabaceae, Lamiaceae, Plantaginaceae",complete
Greta oto,Glasswing,ingested,lepidoptera,"[-85.47, 9.97, -84.09, 10.92]",2019-06-04 to 2020-08-27,58.0,30.0,2026-02-14,SPECIES,1895190,51.7,,,CR,Central America,"Cestrum, Cestrum aurantiacum, Cestrum diurnum, Cestrum microcalyx, Cestrum tomentosum",Solanaceae,complete
Dryas iulia,Julia,ingested,lepidoptera,"[-108.91, -36.31, 105.36, 52.75]",2015-01-01 to 2024-12-31,15922.0,8324.0,2026-02-14,SPECIES,5128034,52.3,,,"AR,AW,BE,BO,BQ,BR,BS,BZ,CO,CR,CU,CW,DE,DM,DO,EC,GD,GF,GP,GT,GY,HN,HT,ID,JM,KY,LC,MQ,MX,MY,NI,NL,PA,PE,PR,PY,SG,SR,SV,TH,TT,US,UY,VC,VE,VG,VI",Caribbean,"Lantana camara, Passiflora, Passiflora X violaceae, Passiflora adenopoda, Passiflora alata, Passiflora auriculata, Passiflora biflora, Passiflora caerulea, Passiflora capsularis, Passiflora cerradensis, Passiflora coriacea, Passiflora costaricensis, Passiflora edulis, Passiflora glandulosa, Passiflora glaucescens, Passiflora ichthyura, Passiflora lancifolia, Passiflora lutea, Passiflora miersii, Passiflora morifolia, Passiflora organensis, Passiflora platyloba, Passiflora pohlii, Passiflora quadrangularis, Passiflora rhamnifolia, Passiflora rubra, Passiflora securiclata, Passiflora suberosa, Passiflora truncata, Passiflora tryphostemmatoides, Passiflora tuberosa, Passiflora vespertilio","Passifloraceae, Verbenaceae",complete
Catopsilia florella,African migrant,ingested,lepidoptera,"[-85.35, -34.59, 59.54, 33.11]",2015-01-02 to 2025-12-31,7182.0,3636.0,2026-02-14,SPECIES,1919346,50.6,,,"AE,AO,BF,BJ,BW,CD,CF,CG,CI,CM,CR,CV,DZ,EG,ES,ET,GH,GM,GN,GW,IL,IQ,JO,KE,KM,LR,LS,MG,ML,MR,MU,MW,MZ,NG,OM,PS,QA,RE,RW,SA,SD,SN,SO,SS,ST,SY,SZ,TD,TG,TZ,UG,YE,YT,ZA,ZM,ZW",Sub-Saharan Africa,"Acacia, Cassia, Cassia absus, Cassia fistula, Cassia javanica, Cassia nodosa, Cassia occidentalis, Gossypium, Senna alata, Senna petersiana, Sesbania","Fabaceae, Malvaceae",complete
Belenois aurota,Pioneer White,ingested,lepidoptera,"[-16.73, -34.41, 145.08, 32.91]",2015-01-02 to 2021-12-31,12739.0,1361.0,2026-02-14,SPECIES,1919181,10.7,,,"AE,BJ,BW,DZ,ET,GM,IL,IN,IR,JO,KE,KW,LK,MW,MZ,NE,NG,OM,PG,PK,PS,RW,SA,SY,SZ,TZ,UG,ZA,ZM,ZW",Sub-Saharan Africa,"Boscia, Capparis, Maerua",Capparaceae,complete
Danaus chrysippus,Plain Tiger,ingested,lepidoptera,"[-147.66, -69.41, 175.54, 51.25]",2015-01-01 to 2022-04-29,40018.0,13503.0,2026-02-14,SPECIES,7642610,33.7,,,"AE,AL,AO,AQ,AU,BD,BF,BH,BJ,BT,BW,CD,CG,CI,CM,CN,CV,CX,DJ,DZ,EG,EH,ES,ET,FR,GA,GH,GM,GN,GR,GW,HK,ID,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KM,KW,LA,LK,LR,LS,MA,ME,MG,ML,MM,MO,MR,MT,MU,MV,MW,MY,MZ,NC,NG,NL,NP,NZ,OM,PH,PK,PS,QA,RE,RW,SA,SD,SG,SH,SL,SN,SO,ST,SY,SZ,TD,TF,TH,TL,TN,TR,TW,TZ,UG,VN,YT,ZA,ZM,ZW",Sub-Saharan Africa,"Antirrhinum, Asclepias, Asclepias cancellata, Asclepias coarctata, Asclepias curassavica, Asclepias fulva, Asclepias kaessneri, Asclepias lineolata, Asclepias physocarpa, Asclepias reflexa, Asclepias scabrifolia, Asclepias semilunata, Asclepias stenophylla, Asclepias swynnertonii, Asclepias syriaca, Aspidoglossum, Aspidoglossum interruptum, Calotropis, Calotropis gigantea, Calotropis procera, Caralluma, Ceropegia, Cynanchum, Cynanchum abyssinicum, Cynanchum acutum, Cynanchum altiscandens, Cynanchum amplexicaule, Cynanchum carnosum, Cynanchum floribundum, Cynanchum sublanceolatum, Dyerophytum indicum, Euphorbia, Ficus laevis, Ficus racemosa, Gomphocarpus, Gomphocarpus fruticosus, Hibiscus, Huernia, Ipomoea, Ipomoea alba, Ipomoea bona-nox, Ischnostemma, Kanahia, Kanahia laniflora, Leichardtia, Leichardtia australis, Lepisanthes rubiginosa, Leptadenia, Leptadenia hastata, Marsdenia, Marsdenia leichhardtiana, Metaplexis, Metaplexis japonica, Oxystelma pulchellum, Pachycarpus, Pentarrhinum, Pentatropis, Pentatropis atropurpurea, Pentatropis quinquepartita, Pergularia, Pergularia daemia, Pergularia daemia ?, Periploca, Periploca linearifolia, Pleurostelma, Pleurostelma cernuum, Raphistemma, Rosa, Schizoglossum, Secamone, Secamone afzelii, Secamone parvifolia, Secamone platystigma, Stapelia, Stapelia gigantea, Stathmostelma, Stathmostelma gigantiflorum, Stathmostelma pedunculatum, Tylophora, Tylophora stenoloba, Tylophora sylvatica","Asclepiadaceae, Convolvulaceae, Euphorbiaceae, Malvaceae, Moraceae, Plantaginaceae, Plumbaginaceae, Rosaceae, Sapindaceae",complete
